text,rating,date
"sat set sat set tanpa ribet, syarat komplit pilih waktu dan tempat. langsung brangkattttt...",5,2026-01-02 02:09:34
"udah 5 hari belum bisa juga daftar akun nya,, request time out terus,, gimana sih apk nya",1,2026-01-01 19:18:54
"aplikasi sampah tidak berguna, inikah kinerja pemerintah buat aplikasi saja tidak becus",1,2026-01-01 14:34:48
"kebijakan membuat paspor untuk tenaga kerja sangat bodoh dikarenakan harus ada id recom dan kontrak kerja, kalau kayak gitu kenapa harus berbayar sedangkan ada program gratis untuk tki. padahal untuk persyaratan wisata sangat mudah. saya sangat kecewa untuk perlakuan imigrasi, apalagi imigrasi non tpi bogor anggotanya sangat tidak ramah dan saya dijadwal pukul 9:00-10:00 ternyata setelah disana sangat tidak sesuai.",1,2026-01-01 12:02:43
"email aku ditolak mulu, pdhl udh lengkap namanya,, masa ditolak.. bingung apa yg salah",2,2026-01-01 08:02:50
ga bisa log in meskipun akun n pasword sudah valid,1,2025-12-31 15:46:33
bagus banget bagus,5,2025-12-31 11:47:04
ribet sekali emang birokrasi indo.,1,2025-12-30 12:51:04
"Tolong perbaiki kualitas aplikasi karena banyak kekurangan yang saya temukan: 1. Pada kolom isian tidak bisa mengetik tanda koma dan tanda titik 2. Pilihan pekerjaan tidak diurut abjad, kemudian pilihan untuk pensiunan dan ibu rumah tangga tidak tersedia. Jadi, saran saya tambah kedua opsi itu dan urut abjad, lalu pilihan 'lainnya' ditaruh paling akhir, jangan ditengah-tengah. 3. Pilihan negara tujuan tidak dlm Bhs Indo. Kalau aplikasi diset dlm bhs Indo, shrsnya nama negara juga dterjemahkan!",2,2025-12-30 02:53:42
"susah mengakses data buat sign in. aplikasi ini tidak sempurna. selalu ada notif ""request timeout"" Ketika email ke Humasnya malah suruh ganti HP. 🤣 kocak",1,2025-12-29 21:20:25
aplikasi tidak aman,1,2025-12-29 16:33:14
request time out terus xoy,1,2025-12-29 02:00:04
"aplikasi busuk,",1,2025-12-29 01:24:58
otp gak masuk,1,2025-12-28 14:53:33
"alhamdulillah... hanya butuh 3 menit utk isi form permohonan paspor, selesai ... aplikasi ini bagus sekali",5,2025-12-28 13:02:43
"aplikasi ga jelas, ribet dan ga bermutu, yg ada menyusahkan masyarakat. saya ga bisa klik tanggal keberangkatan padahal udh di Stephen terakhir ya allah kenapa sih susah amat, pantas review nya pada jelek, mohon diperbaiki DAN TOLONG BACA REVIEW BUAT PERBAIKAN ATAY TIDAK HAPUS AJA APK RIBET INI DARI GOOGLE PLAY STORE",1,2025-12-28 12:06:31
great 👍,5,2025-12-28 08:08:58
jelek sistemnya,1,2025-12-25 04:39:42
"ui ux nya bagus, tapi software engimeernya yg bermasalah. Sudah login, gak bisa. Pencet lupa password, gak nongol2 email kata ganti sandi. Mau isi isi ulang pendaftaran, katanya sudah terdaftar. Jadi MAU GIMANA???",2,2025-12-23 05:15:03
selalu minta update,1,2025-12-23 03:56:08
tidak bisa memilih tanggal 🥲🥲🥲,3,2025-12-22 12:51:09
"request timeout terus, udah berapa kali uninstall lalu install ulang ini app. Aplikasi negara kok busuq",1,2025-12-22 10:06:48
aplikasi ini hanya untuk membayar di lanjut lagi di ofline. kadang lolos kadang nggak di wawancara dan uang hangus kalau gk lolos,1,2025-12-22 09:03:24
udah tw apk penting malah ngebug terus niat ga sih yg bikin apk nih apa lagi ini apk penting buat paspor resmi kenapa kaya gini hdh,1,2025-12-22 05:06:21
aplikasi hanya untuk antrian buat paspor saja. harusnya udah integrasi dengan Identitas kependudukan digital(IKD),1,2025-12-22 02:16:55
"uang saya tidak bisa di refund sebanyak 950.000 di daerah makassar, tolong uang saya di kembalikan",1,2025-12-22 00:30:22
aplikasi error pendaftaran TDK valid terus,3,2025-12-21 15:17:54
"mau perpanjang pasport ribet amat, aplikasi GK bisa bantu sama skli, kode biling GK muncul sampai kadaluarsa pendaftarannya",1,2025-12-21 12:49:44
"Buruk, sangat buruk. 👎👎👎💩💩💩🙈🙈🙈",1,2025-12-20 07:14:25
"aplikasi Tuyul ... aplikasi memalukan ... masak setiap buka/browse image ktp kk paspor lama utk diupload, pasti hilang semua entry yg sudah dibuat, harus ulangi dari awal ... masak aplikasi kelas pemerintah gak bisa punya fitur cache (menyimpan progress isian data / dokumen yg telah diisi/diupload) !!!!",1,2025-12-20 06:37:14
"Error: token tidak valid, maksudnya gimana? padahal 2 hari sebelumnya masih oke, padahal ada draft permohonan yg belum kelar. benerin dong",1,2025-12-20 04:16:30
terhenti di pemilihan tanggal kedatangan...Semua MPP tidak terbuka. sudah dua hari memantau. tetep aja kayak gini.,1,2025-12-19 20:29:34
kenapa yah recom dari aplikasi tidak berpungsi apa apa yang di tanyakan hanya rekom dari travel atau kbih coba di usahakan di cukupkan dengan recom di aplikasi...kan prabayar,5,2025-12-19 08:19:36
ada aja cara mempersulit warganyaa,1,2025-12-19 03:57:34
Tolong update supaya bisa pindah jadwal hari sama tapi beda jam,3,2025-12-18 22:43:53
"apk apa ini cok gak bisa masuk gue min, Perangkat Tidak aman katanya, solusinya disuruh Disable Usb debuging, trs di opsi izin apknya gk ada, cape deh",1,2025-12-18 02:31:06
"Baru mau daftar udh gk bisa ,makin di bikin susah aja di Indonesia ini",1,2025-12-17 16:06:06
ngurus sendiri di persulit.. kalo pake calo knpa mudah.. pdahal data sudah sesuai,2,2025-12-17 12:37:43
"Metode pembayaran bermasalah untuk saya, sudah mengisi data dan lanjut ke pembayaran tetapi waktu pilih pakai Dana malah nggak bisa... ini gimana ya eror terus dan nggak ada CS yg bisa dihubungi.",1,2025-12-17 11:38:00
gagal terus pas mau transaksi,1,2025-12-17 10:33:08
mentok di pilihan memilih tanggal kehadiran gak ada tgl yg bisa di pilih freeze aplikasi oon,1,2025-12-17 04:10:06
Aplikasi yang sesuai dengan keadaan Indonesia. hanya Formalitas dan tidak berfungsi.,1,2025-12-16 04:47:15
"sistem aplikasi ini hanya untuk mengambil antrian, pembuatan pasport yg sdh dibayarkan akan hangus jika tdk datang. sistemnya jelek tp tetap dipertahankan, sistemnya dibuat manusia dan merugikan masyarakat tp pihak imigrasi tdk berproses memperbaiki. selalu yg salah masyarakat, masyarakat yg dirugikan. kl aplikasi ini sesaklek itu dan merugikan knp ttp dipertahankan. tdk ada kebijakan atau solusi yang meringankan masyarakat yg bs membantu. pemerintah hanya mau uang rakyat sj tp kejam thdp rakyat",1,2025-12-16 01:01:58
"aplikasi minta login ulang setelah sekian lama gak pernah buka aplikasinya, password sudah benar tapi gak bisa masuk, ada pilihan lupa sandi tapi kode OTP gak dikirim-kirim, maunya gimana? Semua aplikasi Indo nyusahin",1,2025-12-15 06:27:28
Bagus,5,2025-12-15 04:01:42
tinggal 1 langkah lagi pilih tangal aja gk bisa bisa.,1,2025-12-15 03:07:59
lelet,1,2025-12-14 12:30:00
APK nya sangat banyak trouble efesiensi NOL,1,2025-12-13 09:50:36
"setelah masuk ke aplikasi kok gabisa masuk ya, padahal sudah masukin ""email dan kata sandi"" selalu ada tulisan ""request time ot, try again"" mungkin sedang banyak pengguna lain yang pakai, cuma minta solusinya dong min mau buat passport secara online gini malah gabisa². kalo dibenerin saya rate lagi 🌟 5 terimakasih. 🙏🏻",1,2025-12-13 04:25:00
dari sekian banyak pilihan pembayaran tidak ada pembayaran via m banking bca padahal pemakai m banking bca buanyak lho. pemerintah kalau ndk mempersulit rakyatnya kaya ndk afdol,1,2025-12-12 15:07:47
